-0.091067,-0.18403,-0.2026
-0.18033,-0.34657,-0.3805
-0.2782,-0.49067,-0.52057
-0.28503,-0.42043,-0.42073
-0.29193,-0.32707,-0.29517
-0.3029,-0.17803,-0.089467
-0.32573,0.062967,0.31953
-0.38613,0.39553,0.9233
-0.4467,0.8382,1.3946
-0.4642,1.1895,1.3332
-0.38433,1.3967,0.6768
-0.2317,1.3418,-0.3487
-0.0868,0.94717,-1.26
0.0066333,0.39507,-1.8215
-0.057133,-0.10347,-1.9995
-0.16627,-0.2609,-1.9995
-0.25293,-0.2173,-1.9995
-0.2294,-0.1574,-1.9995
-0.19537,-0.1183,-1.9995
-0.2135,-0.076733,-1.9824
-0.2709,0.028533,-1.9229
-0.31407,0.13283,-1.8016
-0.34207,0.20253,-1.661
-0.329,0.19077,-1.5491
-0.30593,0.14283,-1.4792
-0.2751,0.084533,-1.4107
-0.25003,0.055067,-1.3391
