0.036767,-0.0043667,0.16593
0.082967,0.024367,0.31563
0.079033,0.129,0.509
-0.031133,0.32573,0.59117
-0.2975,0.64457,0.7775
-0.72037,1.0199,1.0708
-1.2385,1.3569,1.3939
-1.6416,1.4953,1.6176
-1.6744,1.4005,1.6455
-1.3202,1.1576,1.5378
-0.68067,0.8751,1.4568
0.068233,0.60887,1.3697
0.80607,0.34093,1.3883
1.4563,0.10237,1.2495
1.8334,-0.0907,1.0695
1.9995,-0.18127,0.8444
1.9995,-0.1555,0.73137
1.9991,-0.0152,0.59247
1.9991,0.093133,0.3676
1.9991,0.1702,0.23393
1.9995,0.2437,0.3112
1.8309,0.57877,0.4139
1.4445,1.0342,0.5259
1.1409,1.3327,0.74317
1.0523,1.4539,0.97063
1.0826,1.5492,0.99397
0.5737,1.7775,0.6556
-0.12073,1.9515,0.49327
-0.56853,1.8644,0.63773
-0.5608,1.6759,0.91637
-0.4568,1.4308,0.97047
-0.68267,1.3136,0.79337
-0.89857,1.1378,0.70467
-0.99407,0.89243,0.78397
-0.8678,0.58333,0.96187
-0.70977,0.32267,1.0768
-0.6028,0.1406,1.0555
-0.56423,-0.00063333,1.0379
-0.5072,-0.12287,1.0953
-0.43437,-0.2041,1.2102
-0.30597,-0.25807,1.2264
-0.25297,-0.26727,1.1338
-0.2446,-0.27067,1.0399
-0.24537,-0.2623,1.046
-0.21867,-0.23697,1.1017
-0.18737,-0.2022,1.1403
